Timestamp:, Message:
Tue Oct  7 18:09:03 2014,[LOGIN]:Zeverin (1)
Tue Oct  7 18:09:05 2014,[LOGOUT]:Zeverin (1)
Tue Oct  7 18:09:08 2014,[LOGIN]:Zeverin (1)
Tue Oct  7 18:09:11 2014,[SHUTDOWN]
Wed Oct  8 15:25:18 2014,[STARTUP]
Wed Oct  8 15:25:19 2014,[LOGIN]:Zeverin (1)
Wed Oct  8 15:25:41 2014,[SHUTDOWN]
Wed Oct  8 15:32:16 2014,[STARTUP]
Wed Oct  8 15:32:17 2014,[LOGIN]:Zeverin (1)
Wed Oct  8 15:33:52 2014,[SHUTDOWN]
Wed Oct  8 15:34:09 2014,[STARTUP]
Wed Oct  8 15:34:58 2014,[STARTUP]
Wed Oct  8 15:34:59 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:35:02 2014,[SHUTDOWN]
Wed Oct  8 15:39:07 2014,[STARTUP]
Wed Oct  8 15:39:08 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:39:18 2014,[ITEMADD] Oskar (3) added item hej (15)
Wed Oct  8 15:40:09 2014,[SHUTDOWN]
Wed Oct  8 15:43:36 2014,[STARTUP]
Wed Oct  8 15:43:40 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:43:48 2014,[SHUTDOWN]
Wed Oct  8 15:44:17 2014,[STARTUP]
Wed Oct  8 15:44:18 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:44:26 2014,[SHUTDOWN]
Wed Oct  8 15:44:36 2014,[STARTUP]
Wed Oct  8 15:44:38 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:45:23 2014,[STARTUP]
Wed Oct  8 15:45:24 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:45:31 2014,[SHUTDOWN]
Wed Oct  8 15:46:11 2014,[STARTUP]
Wed Oct  8 15:46:13 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:46:18 2014,[SHUTDOWN]
Wed Oct  8 15:46:57 2014,[STARTUP]
Wed Oct  8 15:46:59 2014,[LOGIN]:Oskar (3)
Wed Oct  8 15:47:04 2014,[SHUTDOWN]
Sun Oct 12 19:09:59 2014,[STARTUP]
Sun Oct 12 19:10:01 2014,[LOGIN]:Oskar (3)
Sun Oct 12 19:10:53 2014,[SHUTDOWN]
Sun Oct 12 20:58:32 2014,[STARTUP]
Sun Oct 12 20:58:33 2014,[LOGIN]:Oskar (3)
Sun Oct 12 20:58:52 2014,[SHUTDOWN]
Sun Oct 12 21:04:03 2014,[STARTUP]
Sun Oct 12 21:04:05 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:04:20 2014,[SHUTDOWN]
Sun Oct 12 21:16:50 2014,[STARTUP]
Sun Oct 12 21:16:55 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:17:06 2014,[STARTUP]
Sun Oct 12 21:17:07 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:17:15 2014,[BALANCE]:Oskar (3):400
Sun Oct 12 21:17:19 2014,[BALANCE]:Oskar (3):900
Sun Oct 12 21:19:13 2014,[STARTUP]
Sun Oct 12 21:19:15 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:19:20 2014,[STARTUP]
Sun Oct 12 21:19:22 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:19:27 2014,[STARTUP]
Sun Oct 12 21:19:29 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:19:36 2014,[BALANCE]:Oskar (3):1400
Sun Oct 12 21:19:41 2014,[STARTUP]
Sun Oct 12 21:19:42 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:20:10 2014,[LOGOUT]:Oskar (3)
Sun Oct 12 21:20:12 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:21:04 2014,[STARTUP]
Sun Oct 12 21:21:06 2014,[LOGIN]:Oskar (3)
Sun Oct 12 21:21:13 2014,[SHUTDOWN]
